,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
35,boerd,Too Sad - Martinou Remix,4diQsqAkEZq6OwpgmJip3L,2,0.473,0.704,340010,0.907,0.873,8,0.0887,-12.537,1,0.0462,119.984,4,0.0726
36,boerd,Too Sad - Main Engine Remix,6j3u4Dewb8YAs5wr0bMss1,2,0.69,0.542,295385,0.611,0.781,2,0.0896,-14.07,0,0.0746,64.962,4,0.173
37,boerd,Too Sad,2UhoxK1Fs0GWdA8MZYiHVt,14,0.853,0.522,488000,0.437,0.845,2,0.0938,-13.059,0,0.0415,119.756,4,0.112
38,boerd,Through Silence - Original Mix,7mlTBHdbYpl6q5NdQODZB6,1,0.982,0.151,178286,0.0159,0.911,11,0.0885,-35.242,1,0.0385,136.774,4,0.0312
39,boerd,Svar,5YspaX8ZulvabxvNTlfwYX,9,0.0218,0.55,316800,0.593,0.941,7,0.0851,-12.121,0,0.0291,149.999,4,0.591
40,boerd,Someone - Jody Wisternoff & James Grant Remix [Mixed],5ChV7cLTqBSbIJ5T4oW5gr,37,0.00255,0.673,364880,0.758,0.894,6,0.238,-7.887,0,0.0379,121.033,4,0.13
41,boerd,Someone,5q3v3zNrPnuXG0AmqqMB4I,2,0.173,0.572,269008,0.445,0.862,6,0.132,-12.309,0,0.0645,60.918,4,0.361
42,boerd,Snatch,41cyXzuU0vVIOz8vUscHQx,10,0.00459,0.576,190080,0.682,0.464,6,0.0817,-10.942,0,0.0416,124.991,4,0.158
43,boerd,Slacker - Original Mix,4htQdgH8af02ilX04qH2jm,1,0.37,0.749,331525,0.55,0.89,10,0.141,-12.14,1,0.0458,117.998,4,0.433
44,boerd,Signal - Original Mix,5Hxk0msI9lijpXADGclBbn,1,0.11,0.345,244948,0.51,0.931,6,0.664,-13.871,0,0.0534,96.97,4,0.34
45,boerd,Shuttle - Original Mix,05pi5xymIS7QpBEKjnuIDo,1,0.271,0.585,360000,0.466,0.719,7,0.0958,-11.946,0,0.126,165.901,4,0.131
46,boerd,Receptor - Original Mix,1aKRaJL6oirQDIigKNxwLk,1,0.38,0.603,483158,0.485,0.788,4,0.108,-15.364,0,0.0485,152.038,4,0.243
47,boerd,Oro,2JFAy0HYLCzd7PoJ9ABZPJ,7,0.986,0.223,184545,0.0331,0.952,11,0.362,-29.514,0,0.0408,66.609,4,0.137
48,boerd,Oklahoma - Original Mix,5WasPzxlgpqr8YfuAq94vA,1,0.000297,0.804,284878,0.716,0.945,7,0.0971,-13.516,1,0.0615,123.005,4,0.441
49,boerd,Nostalgica - Original Mix,7uU0hBz6yzt46CGAs2x43h,1,0.32,0.802,338087,0.748,0.929,11,0.103,-7.581,0,0.0537,115.004,4,0.464
50,boerd,Near Future,6E0iMPsyuYW2XNaTijcwZG,12,0.1,0.565,276480,0.573,0.618,9,0.0825,-10.639,0,0.0383,124.972,4,0.0977
51,boerd,Medvind (Outro),18OqvtxuKl5DC9YBeYueZf,5,0.97,0.17,174000,0.384,0.959,11,0.187,-18.822,0,0.33,59.295,4,0.0555
52,boerd,Materialize (Intro),4NFDS6gixV6pjwQPn42mpE,8,0.914,0.382,208000,0.43,0.812,3,0.0807,-7.646,0,0.0332,144.115,4,0.113
53,boerd,Mantra,2qRECyF5g4N92fNC1qF66d,12,0.691,0.682,306000,0.605,0.906,6,0.508,-11.275,0,0.0679,97.995,4,0.334
54,boerd,Lunar,5plRWkri6oRT4kSCeyHlEj,8,0.93,0.641,213600,0.282,0.911,10,0.165,-16.096,0,0.0319,100.008,4,0.0812
55,boerd,Little Else,2TkjW5KOsqHr6y6rLLS6Eb,0,0.0362,0.548,236292,0.542,0.00669,9,0.0701,-8.618,0,0.0279,154.99,4,0.239
56,boerd,Limbo - Original Mix,7nCk1iYtAyP3VIqKHgNZfh,4,0.541,0.346,327529,0.288,0.691,7,0.12,-16.001,0,0.293,169.979,4,0.0507
57,boerd,Like Me - Original Mix,5gvzcn08pt4oKccsnvCXY1,1,0.302,0.501,190843,0.388,0.933,0,0.0889,-13.345,1,0.0309,166.08,4,0.165
58,boerd,Lid,2seRMxEVZjxPPRTrPBs3Bg,23,0.958,0.319,150358,0.0669,0.763,11,0.348,-25.727,1,0.0397,106.794,5,0.122
59,boerd,Kid - Original Mix,0DirQzKKLvON8Nah6FICjw,0,0.287,0.628,238080,0.807,0.802,5,0.0562,-10.678,0,0.382,125.076,4,0.464
60,boerd,It's Okay,2aTmRpMD7eK92opjUTrH3v,10,0.357,0.511,383377,0.304,0.917,3,0.0987,-14.059,0,0.0693,77.241,4,0.174
61,boerd,It Fades Away - Edit,2LGYjrHPyXtp85Wlbm4CvT,33,0.0219,0.603,228062,0.436,0.296,1,0.0857,-10.303,1,0.0294,144.017,4,0.238
62,boerd,It Fades Away,4mr0X52T5dX5wtDgKcYx3h,28,0.111,0.566,295926,0.369,0.529,1,0.0968,-11.801,1,0.0321,143.972,4,0.0979
63,boerd,Intro,6oxPAl0bogJndkX6AXQihx,28,0.379,0.298,86040,0.107,0.546,8,0.166,-18.888,1,0.049,117.646,5,0.115
64,boerd,Insomnia III,26rMzQB3JB3z7jytChOVV5,9,0.977,0.198,266667,0.00857,0.857,3,0.08,-32.307,0,0.039,131.016,3,0.0444
65,boerd,Inside Cerebrum,6WrrbstYvlk5wUvZG1dupN,6,0.47,0.644,210000,0.38,0.484,4,0.327,-12.815,1,0.0372,143.979,4,0.581
66,boerd,Happy Again - Original Mix,1g9IKdWjjliyAPy2tr5fq3,0,0.153,0.722,282712,0.616,0.932,1,0.104,-10.014,1,0.0477,118.0,4,0.338
67,boerd,Gem,7pKAGTpmoKAQfFqW6etJgo,0,0.965,0.487,260739,0.257,0.961,11,0.102,-18.512,1,0.0351,92.003,4,0.249
68,boerd,Fragment II - Radio Edit [Mixed],0i7mM652xSlBnEowEz1GKZ,16,0.0715,0.435,236143,0.459,0.897,1,0.493,-13.259,0,0.144,63.096,4,0.259
69,boerd,Fragment II - Radio Edit,5BYLuaDsDFwT8ExgdlIbny,33,0.0882,0.498,264630,0.473,0.815,1,0.312,-12.9,0,0.181,69.592,5,0.247
70,boerd,Fragment II (ABGT278),0bEeYU6jJUmnyvJEezey5D,13,0.0293,0.486,373033,0.551,0.24,1,0.83,-10.748,0,0.219,68.404,4,0.181
71,boerd,Fragment II,1oTeKs2n0wiRRg0utixcaN,13,0.104,0.517,399492,0.465,0.845,1,0.0997,-11.754,0,0.18,70.943,5,0.128
72,boerd,For Awhile,2Qn82sG6KzuEVcFOZMuPh1,8,0.786,0.366,319059,0.346,0.772,4,0.363,-11.603,0,0.0484,84.829,4,0.0342
73,boerd,Flimmer - Original Mix,28kixuAVchllAwDwvmMHAC,1,0.176,0.567,285843,0.438,0.65,0,0.103,-13.442,0,0.0423,178.002,4,0.599
74,boerd,Fjol,6rOSjzcItOJvYqPazFFQTv,32,0.982,0.176,154000,0.336,0.841,1,0.0643,-13.762,1,0.0344,135.94,4,0.0797
75,boerd,Ebb,2paA0uOayJvFiBS5343Ui6,12,0.762,0.176,251121,0.193,0.907,8,0.0862,-21.39,0,0.0376,113.62,4,0.0375
76,boerd,Dwaal,1pChVPALHSQAoUAdm6062x,14,0.194,0.586,318000,0.529,0.855,5,0.0713,-11.653,0,0.0803,119.914,4,0.749
77,boerd,Dust,0JXCUBjwvHlRw2Bk0MHhWS,6,0.833,0.792,199480,0.474,0.493,8,0.213,-14.899,1,0.0604,76.956,4,0.917
78,boerd,Distans,7yVp9SM1oRxDyLuX734oOR,7,0.914,0.254,170000,0.268,0.922,3,0.0855,-14.145,1,0.0673,72.806,3,0.122
79,boerd,Diorama,5Yt80QALLC2aR1zf7EHTJC,16,0.461,0.604,282593,0.323,0.936,10,0.145,-13.238,0,0.0408,78.016,4,0.201
80,boerd,Close,1I71qFop22zTvVO0TK6Ly4,6,0.542,0.678,405283,0.628,0.898,8,0.128,-15.284,0,0.0637,106.001,4,0.166
81,boerd,Clementine,48Vay0eHUsAOAXAZsndT5T,17,0.497,0.599,203182,0.482,0.89,6,0.107,-13.229,1,0.0384,87.988,4,0.181
82,boerd,City Sleep,05HQt474w3bq8yLUguIxvb,8,0.219,0.554,204137,0.411,0.877,11,0.106,-12.647,0,0.0848,174.042,4,0.19
83,boerd,Brainfog II,0JxXGvUoyI8M6IMihbRdxK,8,0.96,0.129,371043,0.0562,0.805,11,0.099,-25.597,1,0.0395,73.526,4,0.0394
84,boerd,Brainfog,2xpxJ8yk4l1Ks117sqYm7q,21,0.19,0.518,273293,0.311,0.912,8,0.179,-13.457,1,0.0413,83.0,4,0.135
85,boerd,Bodghain - Original Mix,6isLdiSAi5fmiMmBlOo1Bu,2,0.914,0.627,288781,0.411,0.917,7,0.0988,-18.601,0,0.0372,123.024,4,0.105
86,boerd,Blunda - Original Mix,7j6QXDnCt54n2xYYDbnzIR,3,0.978,0.268,147692,0.0547,0.909,3,0.0913,-29.285,1,0.0428,61.75,5,0.0384
87,boerd,Blue On Blue (feat. Ellen Arkbro) - Original Mix,7tj3UQBKxu6hqFhFL9dFh0,2,0.0139,0.509,472088,0.487,0.835,10,0.115,-14.571,1,0.0438,181.977,4,0.117
88,boerd,Blind - Radio Edit,0Zk9YXbgMr1JJ82LTxni1M,37,0.186,0.65,224221,0.451,0.827,5,0.134,-12.899,0,0.037,82.739,4,0.704
89,boerd,Blind - Jadu Heart Remix,7fB3FcukUxsWqeEGzXOMO8,28,0.394,0.624,240000,0.522,0.619,7,0.232,-10.71,0,0.0334,74.027,4,0.522
